id,label,sex,birth,type,art
AkSt,Akademie der Bildenden Kuenste Stuttgart,0,na,2,1
HoScKa,Hochschule fuer Musik Karlsruhe,0,na,2,1
HoScMa,Hochschule fuer Musik und Darstellende Kunst Mannheim,0,na,2,1
MHF,Musikhochschule Freiburg,0,na,2,1
MHS,Musikhochschule Stuttgart,0,na,2,1
JR,Juergen Rautert ,2,na,0,0
UG,Ulrike Groos,1,1963,0,0
EP,Ester Petri,1,na,0,0
UL,Ulrike Lorenz,1,1963,0,0
HSDM,Hochschule der Medien,0,na,2,2
SPM,siggset Print und Media AG,0,na,1,0
BDSZ,Baukollegium der Stadt Zuerich,0,na,1,0
KuSt,Kunstmuseum Stuttgart,0,na,1,0
ADB,Ankaufskommission des Bundes ,0,na,1,0
CGS,Camille Graeser Stiftung ,0,na,1,0
WSS,Walter Stoehrer Stiftung,0,na,1,0
StSt,Stankowski-Stiftung ,0,na,1,0
KBW,Kunststiftung Baden-Wuerttemberg,0,na,1,0
KL,Kunstmuseum Liechtenstein,0,na,1,0
MUFBW,Medien- und Film GmbH Baden-Wuerttemberg,0,na,1,0
ZKM,ZKM,0,na,1,0
KuMa,Kunsthalle Mannheim,0,na,1,0
KOG,Kunstforum Ostdeutsche Galerie,0,na,1,0
DeMu,Deutscher Museumsbund,0,na,1,0
ADKB,Akademie der Kuenste Berlin,0,na,1,0
SF,Stephan Frucht,2,1972,0,0
EMG,Evelyn Meining,1,1966,0,0
BW,Beatrice Werner,1,na,0,0
EML,Ernst-Moritz Lipp,2,1951,0,0
GZVVL,Gesellschaft zur Verwertung von Leistungsschutzrechten,0,na,1,0
BueSt,Buergerstiftung Stuttgart,0,na,1,0
DSFCC,Deutsche Standards fuer Corporate Collections ,0,na,1,0
SPK,Stiftung Preussischer Kulturbesitz,0,na,1,0
WD,Weltkulturforum Dresden ,0,na,1,0
VBIKKB,VBIK-Kulturausschuss Berlin,0,na,1,0
DM,Dialogforum Musikwirtschaft,0,na,1,0
VUT,Verband unabhaengiger Tontraegerhersteller,0,na,1,0
GEMA,GEMA,0,na,1,0
KDDW,Kulturkreis der Deutschen Wirtschaft e.V.,0,na,1,0
RC,Rotary Club,0,na,1,0
SK,Singende Kindergaerten,0,na,1,0
DrBa,Dresdner Bank AG,0,na,1,0
JM,Johannes Michel,2,1962,0,0
KU,Kerstin Unseld,1,na,0,0
HK,Hansjoerg Korward,2,1965,0,0
MP,Manfred Popp,2,1941,0,0
KEG,Karg-Elert-Gesellschaft,0,na,1,0
SWR,Sued-West-Rundfunk,0,na,1,0
VDM,Verband deutscher Musikschulen,0,na,1,0
FoKa,Forschungszentrum Karlsruhe,0,na,1,0
TUD,Technische Universitaet Darmstadt,0,na,1,0
KHBS,Karl Heinz Beckurts-Stiftung,0,na,1,0
ZFKUM,Zentrum fuer Kunst und Medientechnologie ,0,na,1,0
FKK,Foerdergemeinschaft Kunst Karlsruhe,0,na,1,0
KIFT,Karlsruher Institut fuer Technologie ,0,na,1,0
FWK,Friedrich Walter Keller,2,1957,0,0
KRV,Karl-Reinhard Volz,2,1947,0,0
DFL,Deutsche Fussball Liga GmbH,0,na,1,0
SCF,SC Freiburg,0,na,1,0
WGF,Wissenschaftliche Gesellschaft Freiburg,0,na,1,0
UniFre,Universitaet Freiburg ,0,na,1,0
HDG,Herta Daeubler-Gmelin,1,1943,0,0
MH,Martin Hettich,2,1962,0,0
PL,Peter Leibinger,2,1967,0,0
RWTHA,Rheinisch-Westfaelische Technische Hochschule Aachen,0,na,1,0
SPD,Sozialdemokratische Partei Deutschlands,0,na,1,0
VO,Virtueller Ortsverein,0,na,1,0
IAOLANA,International Association of Lawyers against Nuclear Arms,0,na,1,0
DHUP,Deutschen Hospitz- und Palliativverbands,0,na,1,0
ELSAD,ELSA-Deutschland e.V.,0,na,1,0
BERUR,Bundesverband ehrenamtlicher Richterinnen und Richter e.V.,0,na,1,0
SPARDAB,Sparda-Bank ,0,na,1,0
T,Trumpf,0,na,1,0
BFBUF,Bundesministerium fuer Bildung und Forschung,0,na,1,0
DPE,Deutsche Private Equity,0,na,1,0
BDSZ,Baukollegium der Stadt Zuerich,0,na,1,0
HSF,Hochschule Furtwangen,0,na,2,2
